                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     27,                 1.7311,                 1.9994,                 1.7867,                0.21917,                0.36364,                0.22377,                0.07556,                 2.1513,                 2.5014,                 2.2184,               0.001505,               0.001505,               0.001505
                     28,                 1.7991,                 1.9497,                 1.7587,                0.46138,                0.46765,                0.30538,                0.09418,                 2.1333,                 2.4273,                 2.1132,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.7219,                 1.8688,                 1.7305,                0.30415,                0.40909,                0.33253,                0.11687,                 1.9975,                 2.3417,                 2.0524,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.8218,                 2.0241,                 1.7848,                0.38673,                    0.5,                0.36208,                0.08267,                  2.031,                 2.3199,                 2.0893,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.7552,                 1.9313,                 1.7355,                0.24873,                0.40909,                0.19177,                0.06259,                 1.9802,                 2.2496,                 2.1085,              0.0014258,              0.0014258,              0.0014258
                     32,                  1.679,                 1.8569,                 1.7404,                0.23035,                0.31818,                0.13159,                0.06878,                 2.0443,                 2.1952,                 1.9634,               0.001406,               0.001406,               0.001406
                     33,                 1.7253,                 1.8765,                  1.712,                0.30536,                0.40909,                0.23716,                0.10129,                  1.807,                 2.0836,                 1.8967,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.7024,                 1.8751,                 1.7359,                0.35824,                0.45455,                0.24858,                0.11351,                  1.976,                  2.167,                 1.9991,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.8204,                 1.8732,                 1.7451,                0.70661,                0.40909,                0.44617,                0.20407,                 2.2055,                 2.0984,                  2.141,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.7107,                 1.8943,                  1.739,                0.58888,                0.40909,                0.42444,                0.20414,                 2.0964,                 2.0192,                 2.0727,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.7188,                 1.8337,                 1.6979,                 0.2329,                0.40909,                0.22249,                0.08483,                 2.0019,                 2.2035,                 2.0366,               0.001307,               0.001307,               0.001307
                     38,                 1.7242,                 1.8388,                 1.6916,                 0.4702,                0.45455,                0.35878,                 0.1311,                 2.0202,                 2.1464,                 2.0547,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.7512,                 1.7646,                 1.7517,                0.69089,                0.45455,                0.48775,                0.19819,                 1.7782,                 1.9122,                 1.8795,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.7826,                 1.8345,                  1.754,                0.60663,                0.36364,                0.38189,                0.16904,                 2.3196,                 2.0897,                 2.1823,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.6837,                 1.7299,                 1.6535,                 0.6201,                0.40909,                0.43723,                0.15292,                 1.9125,                 1.9758,                 1.9732,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.7192,                 1.8263,                 1.7103,                0.47864,                0.40909,                0.35761,                0.12759,                 2.0634,                 1.9828,                 2.0716,               0.001208,               0.001208,               0.001208
                     43,                 1.6173,                 1.6978,                 1.6472,                0.58791,                0.38986,                0.40255,                0.17716,                  2.033,                 2.0699,                 2.0645,              0.0011882,              0.0011882,              0.0011882
                     44,                  1.701,                 1.7744,                 1.6799,                0.69915,                0.42325,                0.41825,                  0.187,                 1.9617,                 2.0239,                 1.9806,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.7125,                 1.6848,                  1.632,                0.57458,                0.40909,                0.40759,                  0.163,                  1.993,                 1.9593,                 2.0479,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.6603,                 1.8264,                 1.6634,                0.59447,                    0.5,                0.50499,                0.17451,                 1.9938,                 1.7978,                 2.0907,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.5733,                 1.6935,                 1.5714,                0.54648,                    0.5,                0.46725,                 0.2326,                 1.9576,                 1.7806,                 2.0573,               0.001109,               0.001109,               0.001109
                     48,                 1.6272,                 1.6551,                 1.6272,                0.66229,                    0.5,                0.44676,                0.16411,                 1.9547,                 1.9537,                 2.1182,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.6554,                 1.7819,                 1.6926,                0.70401,                    0.5,                0.43111,                0.18172,                 1.9535,                 2.1306,                 2.0984,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.6525,                 1.7891,                 1.6829,                0.36546,                0.45455,                0.25734,                 0.1127,                 2.1935,                 2.4318,                  2.255,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.5613,                   1.67,                 1.6035,                0.66731,                0.45455,                0.46533,                0.19231,                 1.8583,                 1.9894,                 1.9919,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.6082,                 1.6932,                 1.6144,                0.70934,                0.45455,                0.51639,                0.24042,                 1.6612,                 1.8051,                 1.8434,                0.00101,                0.00101,                0.00101
                     53,                 1.5526,                 1.6199,                 1.6049,                0.73311,                    0.5,                0.56688,                0.26731,                 1.6869,                 1.7447,                 1.8773,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.6075,                 1.6638,                 1.6358,                0.82627,                0.45455,                0.57092,                0.27306,                 1.8581,                 1.7114,                 1.8951,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.5642,                 1.5593,                 1.6006,                0.74662,                0.54545,                0.56796,                0.21737,                 2.0097,                 1.9616,                 2.0505,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.5763,                  1.711,                 1.6289,                0.74563,                0.54545,                0.52956,                0.17565,                 2.0705,                 1.8724,                 2.0361,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.5974,                 1.5618,                 1.5916,                0.65464,                0.43158,                0.45037,                0.18259,                 1.9299,                 1.7811,                 2.0139,               0.000911,               0.000911,               0.000911
                     58,                 1.5754,                 1.6175,                 1.5974,                0.66624,                0.40909,                0.45558,                0.17992,                 1.8875,                 1.8005,                 1.9533,              0.0008912,              0.0008912,              0.0008912
