                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.97202,                 1.3283,                0.95659,                0.92371,                0.31063,                0.47087,                0.38625,                0.77396,                 2.5158,                0.87158,             0.00021304,             0.00021304,             0.00021304
                     88,                 0.7075,                 1.1329,                  0.812,                0.93403,                0.36731,                0.47641,                0.39414,                0.74215,                 2.4482,                0.86356,             0.00020116,             0.00020116,             0.00020116
                     89,                 1.0006,                 1.2811,                0.87979,                0.93403,                0.36731,                0.47641,                0.39414,                0.74215,                 2.4482,                0.86356,             0.00018894,             0.00018894,             0.00018894
                     90,                0.97631,                 1.1853,                0.84039,                0.93403,                0.36731,                0.47641,                0.39414,                0.74215,                 2.4482,                0.86356,              0.0001764,              0.0001764,              0.0001764
                     91,                 1.0359,                 1.7533,                0.89254,                0.93893,                0.40033,                 0.4819,                0.39403,                0.74202,                 2.3799,                0.85916,             0.00016353,             0.00016353,             0.00016353
                     92,                0.88193,                 1.5635,                0.88344,                0.93893,                0.40033,                 0.4819,                0.39403,                0.74202,                 2.3799,                0.85916,             0.00015033,             0.00015033,             0.00015033
                     93,                0.71989,                 1.3153,                0.82358,                0.93893,                0.40033,                 0.4819,                0.39403,                0.74202,                 2.3799,                0.85916,              0.0001368,              0.0001368,              0.0001368
                     94,                0.69845,                 1.5251,                0.80331,                0.93893,                0.40033,                 0.4819,                0.39403,                0.74202,                 2.3799,                0.85916,             0.00012294,             0.00012294,             0.00012294
                     95,                0.72685,                 1.4596,                0.83908,                0.94612,                0.46122,                0.48189,                0.38717,                0.73836,                 2.2673,                0.85156,             0.00010875,             0.00010875,             0.00010875
                     96,                0.67812,                 1.3767,                 0.8391,                0.94612,                0.46122,                0.48189,                0.38717,                0.73836,                 2.2673,                0.85156,             9.4227e-05,             9.4227e-05,             9.4227e-05
                     97,                 1.0557,                 1.7236,                0.99746,                0.94612,                0.46122,                0.48189,                0.38717,                0.73836,                 2.2673,                0.85156,             7.9376e-05,             7.9376e-05,             7.9376e-05
                     98,                0.71727,                 1.5883,                0.90054,                0.94612,                0.46122,                0.48189,                0.38717,                0.73836,                 2.2673,                0.85156,             6.4195e-05,             6.4195e-05,             6.4195e-05
                     99,                0.94005,                 1.5255,                0.81529,                 0.9476,                0.47597,                0.48189,                 0.3955,                0.72325,                 2.1526,                0.84929,             4.8683e-05,             4.8683e-05,             4.8683e-05
                    100,                0.84653,                 1.2991,                0.90942,                 0.9476,                0.47597,                0.48189,                 0.3955,                0.72325,                 2.1526,                0.84929,             3.2842e-05,             3.2842e-05,             3.2842e-05
